"","stars","text"
"1",5,"I stayed here for one night for business. I am a Marriott person myself, but was pleasantly surprised! I would compare it to a Marriott Courtyard! The room was very nice and clean and the staff was friendly. The hot breakfast included eggs, sausage, biscuits, hot cinnamon rolls, pancakes, bagels, toast, etc. and was wonderful! I would highly recommend it!"
"2",1,"It's a shame that I didn't do more research as far as the definition of a hunters hotel . It kind of ruins my Outlook on the town of Benkleman,Ne. Which has more good people than bad but do the loud,drunk,yelling,screaming so called hunters need to be located at this hotel Not worth the stay beware anyone wanting... More"
"3",5,"...without the hassle of being downtown. Nestled in San Marco one block from Hendricks Ave., this cozy little hideaway is well worth looking for. The hotel is just far enough away from the traffic, yet so close to everything if you're willing to be creative. For instance, if you want to head to downtown Jacksonville and the Northbank Riverwalk, you... More"
"4",3,"I have told the Westin I am going to leave honest feedback on my experience and will do so. First, the hotel is beautiful. Guests commented on the amazing and historic beauty it had to offer. Rooms are a bit pricey, but comparable to other hotels in downtown Greenville. In fact,... Read More rooms in the room block here were cheaper than what other hotels were going to offer in blocks. The complimentary night for the wedding was an added plus. We had our reception in the Gold Ballroom and that, too, was a great location site. It was stunning and if you want a reception in a ballroom, I wouldn't have anything negative to say about it. I caution you if you plan on solely relying on the hotel's event planner. While she sets up everything for you (or instructs the staff, I'm not entirely sure), I still had a day of coordinator and do not regret that choice one bit. My DOC had to fix the centerpieces since they did not match the pictures provided. Also, my DOC was present through the ENTIRE reception. The hotel's planner typically does not stay until the end of the reception and also was not there Sunday during our departure to help us locate some of our items. The hotel's planner is not consistently present during the reception, especially if there is another wedding or event in the hotel. She is present only here and there, but not consistently. We had an issue with our champagne toast and had to send my DOC to try to locate the hotel's planner or anyone to help. Overall, the hotel's planner was useful in organizing the details, planning food, etc. She ensured the timeline generally flowed and we got to where we needed to be. At times, communication was hard and responses to questions were delayed. The overall package price, in my opinion, was helpful. Next, we had issues with the clean up of the event, which is part of the package. The staff told my DOC they were not going to pack up the reception decor, which resulted in my DOC, father, and several groomsmen spending an hour or two packing up the items and then carrying them to my father's room. As the hotel planner was not there at the end of the reception, there was no one to talk to about what was happening. Needless to say, the end result was a DOC I needed to compensate for time outside our contract and a not very pleased Father of the Bride. After some pressing to the Westin, compensation was given for this. I can at least give them credit for rectifying a wrong though it did take some pushing. For reception food, it was fantastic. We had many compliments on the steak, sides, etc. The staff was attentive and the bar service was quick. My father had lots of positive things to say about the staff and especially liked Eric. Eric is a jack of all trades - he was the bartender at the rehearsal, bell hop at various points, waiter at the reception, van driver on Sunday. If you have Eric doing anything, you are in good hands. We also had a fantastic server, JJ, at the wedding - we loved her, too. The Westin suggested doing wine passing during dinner and closing the bar as a cost saver. In the end, this was more expensive than simply doing another hour for the open bar. You are charged taxes, gratuity, and services fees for this hour though the contract states this is part of the package; this was an issue and I'm still not in agreement that it was right since it was never mentioned. Think twice about this option. Most of our decor was returned - a few items were missing."
"5",5,"I was very pleased with this hotel. will certainly stay here again. very convenient location to USC and the Staples Center in a nice hotel with exorbitant costs. free shuttle and parking a huge plus in this area. neighborhood is not amazing but where is in LA I didn't think neighborhood was as bad as many guests."
"6",4,"Clean, modern, friendly staff and great location to the airport. Food available nearby. It is a quiet and secure neighborhood that is especially good for business travelers. Lives up to the reputation of the brand."
"7",2,"The first room we got instantly smelled like smoke so we told the front desk and they got us a new room - which was very nice of them. Our second room smelled like an old frat house. I slept in a hooded sweatshirt because I didn't feel comfortable in the bed. We didn't use any blankets because they smelled... More"
"8",5,"This motel is in an excellent location at a reasonable price for the area. The room was very clean and had a refrigerator and microwave. It is about a five minute drive from the downtown area. If you are a Best Western Rewards member, the room charge includes a breakfast at Denny's, which is located on the same property. It is not the regular breakfast menu however, it has a variety of selections and we were happy with the amount of food provided.cinann - Thank you for taking the time to write this review. Our entire staff takes pride in our hotel and it shows inside and out. Our prices are very reasonable for the Napa Valley. Being just a few minutes from Downtown Napa and wineries in the area, you just can't beat that. Thank you for being a Best Western Rewards Member and we hope you visit us again soon. Genafer, Director of Sales"
"9",5,"Overall stay was great. The rooms were clean and comfortable. The staff was very friendly and courteous. The coffee was great! Typically I do not care for hotel coffee - it was probably the best hotel coffee I've had this side of Europe.Dear laylemsp, Thank you for your stay and a great review. We are glad you enjoyed our clean and comfortable room. Our staff are constantly undergoing training to provide 'Premier' guest service. Look forward to hosting you here again soon. Sincerely, Gracie Guest Services Manager"
"10",5,"Great hotel! You'll enjoy it very much! Breakfast is over-the-top, great service, rooms are very big, very clean. Lou and Amber make breakfast a pleasure--great service, much pride---this is a go-to location when visiting Katy, TX."
"11",5,"We are laying down for our third and final night here in Room 11. These are the most comfortable beds I've ever slept in! The room is clean, AC is good and chilly, and the deep soaker tub is heaven! We've enjoyed the courtyard/charcoal grill. Getting to watch our kids play on a vintage metal merry-go-round has been so cool.... More"
"12",5,"Hotel was clean, service was excellent, pool was great (24 hours!!!!), bed was comfy, and breakfast was outstanding! What else do you need when you are away from home BW for sure! Will definitely be back. We just love it!"
"13",5,"I stayed her two different times this week.both stays were perfect. The rooms are comfortable and very clean. The staff is excellent, friendly and accommodating. From check in to the housekeeping staff all were wonderful. We utilized the free shuttle service and our driver gave us local directions and tips. Highly recommend."
"14",5,"We stay at this hotel every time we come to Columbia. It has a great location, great service and overall just a nice place to stay."
"15",5,"They have great staff, pet friendly, rooms impecable, the coffee in the lobby really good and free, the lobby bar very enjoyable, perfect location, just the car parking should be more flexible and less expensive.We are thrilled to hear of your great experience! Ill be sure to share your feedback with our staff. Thanks for staying, we hope to see you in the future, Dixie Krauss, Director of Operations"
"16",3,"Overall our stay was decent. However, I would've rated it higher if the indoor pool was clean and usable. It was GREEN and smelled unkept which was disappointing with 2 children. In addition, the bathroom could've been cleaner. The toilet bowl was cleaned and the shower curtain was moldy. On a positive note, the staff was EXTREMELY friendly and the complimentary breakfast was quite yummy"
"17",5,"We stayed at the tower suites and it was heaven on earth! Great service wonderful view from room and amazing facilities. 4 pools to take your pick and a vibrant casino. Shops, restaurants and bars- all you need!! Highly recommended for a treat!"
"18",5,"Bad: safe is too small for dslr camera or laptop. not acceptable. Good: good location, good food, good price"
"19",2,"Bad: Spa (No pool and No available time). Breakfast. Good: Breakfast wasn't ready. No coffee, no plates, nothing in the hot thing. Really a disapointment."
"20",5,"The rooms are clean and very modern, new (the building is an old beautiful building) and luxurious with lots of windows. The beds are cozy and the service is exceptional. Every staff member was friendly and genuinely invested in making our stay easy and relaxing. The front desk staff was always available and attentive, they even brought us a tooth... More"
"21",4,"We stayed here in the heat of summer with our dog. While there isn't a huge dog area outside, walking down the business park street behind the hotel provided enough space for our dog to unwind from a long car ride. On leash. Breakfast was standard, hard boiled eggs, waffles, yogurt, cereal, etc.. good coffee. The staff was just awesome in the friendly department. And 2 steak houses are within 3 miles, and super cheap gas at Circle K is close as well."
"22",5,"We experienced a comfortable, welcoming, restful stay and enjoyed breakfast in the morning. I appreciated the cleanliness of our room, the interactions the whole family had with the staff and the choices and presentation of the food at breakfast."
"23",5,"My family and I were here for a one night stay. Everyone from our check in, valet, bell desk to housekeeping made us feel welcome. We arrived at 200p and they rushed our room with housekeeping so we didn't have to wait. The room is beautiful, spacious and very clean. We were greeted by friendly employees everywhere making sure were... More"
"24",1,"We will not be booking at this hotel ever again. We aren't looking for the best, but a little work and you wouldn't give off the roach motel vibe that you presently give to potential and former guests. Our room was ok, except that the phone had been ripped out of the wall so we were thankful we had our... More"
"25",5,"Friendly desk personnel. Friendly staff. Free shuttle service from the hotel to the metro station. Breakfast arrangements were comfortable. My room had an excellent view. I highly recommend this hotel."
"26",1,"We were looking for a place to stay outside of Boston and all the motels in this area seemed to be full. We found this one, overpriced, but thought we had no choice. We positively hated it and moved to the all-new Motel 6 for the rest of our stay. It was cheaper, much newer and cleaner."
"27",4,"firstly try to park at the front (not the side) of the hotel if you can or in the garage which has direct access to the casinothe smoke from the casino floor doesn't tend to filter into the lifts and upper floors unlike in some of the downtown casinosthe rooms are very large and well appointed. those facing west have a great view of the las vegas stripwe got an early check in at noon which was good and the process was handled in a friendly but efficient way. ac in room was very efficient and the rooms were quiet when we were therelots of eating choices in the casino and surrounding area but you do need a car in order to take advantage of this as the distances and temperatures make walking a difficult optionhowever the local bus does appear to go to the airport on a regular basis and the casino also offered a shuttle there as wellrecommended"
"28",5,"We went to the room and it was so nice I went to the desk and reserved the room for an extra day. we were going to leave Saturday but we added that extra night. We left Sunday wishing we could stay longer."
"29",5,"Excellent style and amenities throughout incluing the rooms. Very convenient location. Ask about the local cafe across street. Excellent food. I love the design of the rooms, very convenient, offering more than the average hotel."
"30",5,"Better with more extras like breakfast. Preferred place to sleep for conference."
"31",5,"Good: Everything was amazing I will for sure be back!"
"32",5,"Perfect location to Seattle center. Lot's of things to do within walking distance. Very clean and accommodating staff. Great hot breakfast and happy hour specials. Lobby is very inviting to hang out, have a drink or people watch.Lori S,Thank you for choosing to stay at Hyatt House during your recent trip to Seattle and for taking the time to share your experience on TripAdvisor. We value the feedback from our guests and are always striving to improve our guests stay. Please let us know when you return as wed love to welcome you back as our guest.Sarah Junge"
"33",5,"The breakfast had a little to be desired. And we weren't told when it ended, so when we showed up there was very little, if anything left. But the staff and facilities were very nice and clean. I would probably stay there again"
"34",5,"I almost always stay at Best Western properties. I like supporting independent owners. This hotel was everything you could want in an overnight stay. Clean, comfortable and quiet. I would definitely recommend this hotel."
"35",5,"We truly enjoyed our stay. The room was great and we definitely appreciated the hotel shuttle service to near by attractions and resturants. I would definitely recommend this hotel to anyone."
"36",5,"We had a problem with our air conditioning in the air and they were unable to fix it so they moved us to a new room even though the hotel was completely booked. It was a great place to stay overnight and very close to the auto train. Great staff!"
"37",4,"One of the girls at check-in had zero personality. actually she was draining. Outside my view room was the obstruction of a white wood gazebo. I don't understand this to be a view. The room service selection price and quality was excellent!"
"38",5,"Couldn't be nicer!!! Front desk was courtesy at check in. Clean rooms no bed so comfortable. Front desk called 10 mins after check in to make sure everything was ok. Fresh and nice breakfast selection."
"39",3,"part of the hotel look great and updated, but the room needed a major renovation. carpet was dirty and wrinkled (could trip on it), and the bathroom was dingy: white enamel broken off on bathtub, toilet paper holder coming off the wall, dirty shower curtain, etc. but the bed was relatively comfy and the hotel quiet when we stayed there. complimentary shuttle to metro station was very convenient. staff was not very friendly and we could not order anything at the bar because there wasn't anyone there (bartender at some point was eating nearby in the lobby but did not acknowledge us and at other times the bar was empty)."
"40",2,"Our room was sub-standard. Two of the four lights didn't work. The bath tub and sink needed to be cleaned. They both drained VERY slowly. While showering you had to stand in water up to your ankles. The fitted sheet was on the bed inside out... certainly hope that they didn't turn it over, rather than wash it before our... More"
"41",4,"Rooms spacious, including bathroom. Clean and functioning well. Attentive staff. Very dated decor throughout - distracting, but little impact on our experience there. Requested 2 queen as listed on Hotels.com, but hotel offers 2 DOUBLE beds, which is a significant drawback for our family. Free ear plugs because closing doors are LOUD. That might have been the only downside. Pool and hottub were great. Ample supply of towels with extended access hours as compared to some places we've stayed. Breakfast was good, but crowded. Layout is a challenge when busy as several key items are in corners or nooks. No place to line up but through the dining tables, pathway, etc. Would stay here again if the price were right. Otherwise, would be a more modern competitor with queen beds."
"42",5,"I found this hotel to be clean, fresh in appearance, and comfortable. I would recommend this hotel. It was good to have a restaurant on-site and we found the food to be quite good. No complaints. Thank you for the stay."
"43",3,"The worst television design I have ever seen in any hotel. I'm a very frequent traveler and have stayed at MANY 4 and 5 Star hotels. I have never encountered a television that had no video inputs for guests. Most hotel televisions have an extra HDMI input on the side, older hotels will have analog video inputs. (But they ALL... More"
"44",5,"This hotel is perfect I jave com 2 times and is beautiful is right next to the beach it has a really nice pool and Yolanda an employee from here is so nine and carring is all thanks to her that we are having a great time"
"45",4,"Bad: Ac wasnt working . Good: Clean"
"46",5,"We always use Hyatt for all inclusive vacations but this time traveling through the US we decided to try Hyatt House. We were traveling with our 2 dogs - we were a little taken back by the non-refundable pet fee of 75 for nights 1-7, we were only staying one night and thought this was a little steep. However, after checking in and seeing the cleanliness of our room, being a pet friendly room you expect to find at least one sign another dog had been there - Nope! Immaculate! Great cleaning staff! This location is very convenient and we will stay here again. The hot breakfast was delicious. The staff very accommodating. Nice place all the way around. 5 stars!"
"47",4,"Bad: Might need a little updating. Good: Conveniently located on Fremont"
"48",1,"The had a bad smell. It smells like wet carpet or maybe mildew."
"49",5,"Clean rooms, wonderfully comfortable bed. It is nice to have a microwave and a frig in the room. Nice pool. Fitness room pretty basic, but at least had a stationary bike and treadmills. Very good breakfast. Check-in and check-out very efficient. Staff very helpful regarding any requests we made. Have stayed here many times as our daughter is at the... More"
"50",5,"Very cute and extremely clean motel. I rented a single and it was decently sized with a TV w/cable. Shower stall in my room, 133, was a bit small but great water pressure. Convenient location to the artsy things in South Congress but also an easy 1+ mile walk to 6th St. It was quiet. Full-sized bed was very comfy.... More"
"51",4,"This Comfort Inn is in the process of a face lift. The rooms have been totally renovated and an elevator was to be installed within the week. Our room was very comfortable with a king bed, fridge, microwave, desk and lounge chair. It was nicely done with new linens and pillows as well. Staff was very friendly. It is located... More"
"52",4,"Stay was overall wonderful. Bathrooms could use a little maintenance. We would stay here again. This was an affordable convenient option when you cannot afford to stay waterfront."
"53",5,"Good: The room was lovely and spacious, bed very comfy. Staff changed our bed every day and fresh towels. We could not have been better looked after by manager Lewis. Events organizers Ricardo and John were great help for tours."
"54",5,"We had originally planned to stay at a much more expensive hotel as I had never stayed at a BW before. This trip was the first my husband and I had taken without our children in 8 years so I wanted it to be nice. But I just couldn't stomach paying the amount of money that other hotel was asking... More"
"55",5,"This hotel was great and I loved the location! I felt like I was in the middle of all of the action on the strip. We stayed in a corner suite and the views were amazing! the windows are floor to ceiling and offer stunning views of the Vegas strip, even from the bathroom. I would take baths in the... More"
"56",5,"I have traveled to Walt Disney World a number of times and will continue to travel there based on how outstanding every aspect of the resort is. When we arrived at Saratoga Springs we were welcomed by hotel staff and a wonderful display of holiday decorations. It was very beautiful and put a huge smile on everyone's faces! Now, on... More"
"57",4,"I was a little worried after reading some of the reviews talking about rooms that were dirty or need to be updated, but we found our room to be clean and without any problems. It even has a Keurig which is very nice. The location is perfect if you are going to the aquarium, Centennial Park, CNN, etc. There are... More"
"58",5,"We stayed here for one night on our way to Northern Virginia with our son's and their families. This is one of the better hotels we have stayed in with the free drinks, free dinner and free breakfast, it can't be beat. This hotel is super clean, allows pets, and is in an easy on and off from I-77. There... More"
"59",3,"Not sure who to blame. Expedia, says something about surcharge in one place, another place says nothing. Real pain to realize you got a good room rate, then need to fork out an extra 50 for parking. Of course no one takes responsibility. To their credit, the front desk did offer 35, since it was 5 days. 50 is up to 14 days. Expedia couldn't do anything."
"60",2,"i stayed at room 239, to be honest it was very disappointing experience.. Breakfast is Ok.. but bed... noisy bathroom.. all were poor."
"61",5,"This Quality Inn is in a great location and the staff is amazing. Beds were comfortable and very clean I was impressed with how large and spacious the rooms are. I could go on and on about how happy I am with my stay. I will see you again when I am passing through again this weekend."
"62",5,"Only stayed one night but that was enough to enjoy my stay. The hotel and room were very clean and looked to be recently redone within the last few years. The staff was very courteous and professional. We ate at the hotel restaurant and found the food to be excellent. I would definitely recommend this hotel to anyone that is staying in the area."
"63",3,"I have now stayed here for 3 seasons-2013, 2014 and 2015. Not sure I will return next time. The front desk staff have ALWAYS been terrific and helpful, friendly, but the owners' strict adherence to some polices that are not really reasonable given choices provided elsewhere are at issue. Add to that, the fact that the furnishings, while adequate, are... More"
"64",4,"Upon first glance the hotel doesn't look like anything special, but there's plenty to be excited about. It's a great location for kids with the fountains from the shopping center, pond, shopping and restaurants nearby. The restaurant has an excellent breakfast in the mornings as part of your stay, and it's near the major interstates for easy access to downtown."
"65",4,"We stayed here and really enjoyed our stay. Nice rooms, clean although the carpet in the room we stayed in needs to be replaced. This hotel did pay attention to our special requests, which rarely happens and sometimes those little things make a BIG difference. We didn't try the breakfast but we will next time we stay here."
