"","stars","text"
"1",4,"As far as the room it self I would actually say 5. Breakfast 4.5, some kind of meat would have been nice, Internet access in our room 5 in a friends room upstairs 0, pool looked good, first night a lot of noise from upstairs kept wife awake didn't bother me, staff 5, location good for NACA baseball tournament. Would... More"
"2",5,"Wonderful as always, the consistent level of quality is always reassuring and so pleasant"
"3",4,"Location was very convenient, although using their free shuttle to Metro Station probably is not that convenient. We just parked at the station for 4.50/day. If you don't have a car, then I think you could make the shuttle work for you, or take a cab. We booked 2 rooms. Cons: Both were very small, with shabby, 80's looking furnishings. Rooms had an unpleasant musty smell that a/c didn't remedy. One room we booked did not have a fridge and microwave although the hotel lists that as an amenity for their rooms. Ice machine only available on 2nd floor. There isn't one on 4th floor and the one on 3rd floor didn't work. Old-style TV's when almost every other hotel in this category has nicer flat screens. Beds, while somewhat comfortable, were made up with not so great linens (thin sheets, old bedspreads). No laundry room, which is only needed for multi-day stays. Pros: Good housekeeping service swimming pool kept very clean with a lifeguard present at all times, towels are sometimes available at the pool EXCELLENT full hot breakfast available with enough options for daily variety for a multi-day stay. All in all, would probably look a little closer at another Springfield, VA lodging option if visiting in the future. Although most of our time spent in a hotel room is simply sleeping or preparing to go out for the day, would prefer to have just a little more elbow room than this hotel offers."
"4",4,"We were very tired when we arrived with a cranky baby. Pierre at the front desk was very helpful and got us in our room quickly. We had some difficulty with the door, the handle had to be pushed up, instead of down, which delayed us getting into the room. The room was clean though somewhat worn/dated (old phones, ceiling in bathroom had areas that needed repair/patched, carpet was threadbare in some areas, etc.). We were thankful that the room was very quiet which help us to get a good few hours of sleep before my daughter and grandson's flight. The shuttle driver that took us to BWI was exceptionally helpful and I was very grateful that he came back to pick me up after seeing my daughter and grandson off."
"5",3,"Somewhat updated, nice fireplace and clean. We booked a king with a Jacuzzi tub and river view. We got everything however there was no patio or balcony for us to sit on to see the river, in fact there wasn't a door leading out to the river, we could only see it from a window. Someone turned off the fridge... More"
"6",5,"Bad: No self parking.. had to reach down to flush toilet. Good: Location"
"7",3,"We traded our timeshare for one at Lake Tahoe for a family Christmas. Our stay was nice and my husband, who has stayed at other places in Tahoe over the years, scaled this as as above average. The furniture beds were very uncomfortable tv in main area was small but flat screen televisions were also in each bedroom which... More"
"8",4,"Relaxing stress free."
"9",5,"My wife and I were heading back from Cincinnati and stopped late here for the night. Clean room ,Quiet, and slept like a log. Next day had a nice breakfast. Packed up and headed home. Got home and had forgotten part of a cord that I needed. called them and they found it. They were very helpful and I drove... More"
"10",5,"I cannot recall the last time I had an issue at a Drury Inn. Well, we did not have one at this location. The room was comfortable, the staff was attentive and helpful, and it was nicely priced more importantly, we got the last available room for the evening. Next, their complimentary breakfast was good, as well as their late afternoon meal from 5 PM 7 PM. Also, you have to have a key card to access their customer parking area. It was a nice feature which prevents people with ill intentions from driving around scoping out the scene."
"11",3,"This was a stop over on a cross country driving trip. We had high hopes for this place and were hoping we would like it enough to stay two nights. One night was more than enough. Upon check in we were directed to a suite that required us to go down a floor from the lobby. Got there and felt... More"
"12",5,"Room was very quiet, clean and comfortable. I would definitely stay here again when in area. Lots of places to eat within walking distance. It is right on the interstate but we couldn't hear it. We stayed on the 3rd floor."
"13",4,"The Winchester Hilton Garden Inn was our last stop after a couple of weeks traveling across the US before arriving in New York. It was a good stopover, good service, clean and everything that's so predictable about this chain. Good value and recommended. With the Holiday Inn Express in the same sector of the market we found the Hilton to... More"
"14",3,"Overnight stay to catch early flight to Barbados"
"15",3,"In theory, I like the idea of a suite style Hampton, however, my room was still small and I was not particularly fond of the layout. I did miss having a work desk and comfortable chair. My choices for working were either on the kitchen bar/counter and sitting on high chairs, or sitting ergonomically poor on the sofa with the... More"
"16",4,"Bad: 1) Noisy A/C Unit 2) Lack of hooks in bathroom on which to hang towels (only one in the bathroom we had). Good: 1) Location, perfect for walking around city 2) Design excellent 3) Comfortable bed and room 4) Staff friendliness"
"17",3,"Cold shower, comfy bed."
"18",5,"We like to fish at Inland Discount Marina. Best Western is perfect for us. The motel is located close to our marina and to a host of places to eat. Very comfortable rooms. The manager is extremely nice as well as the other employees. We did not eat breakfast, but the coffee was delicious and hot. We did partake of... More"
"19",5,"Very nice!"
"20",4,"Part of a roadtrip through USA. Staff here are very helpful and the hotel is modern and well kept. The location is a little a way out of town, but this is reflected in the price."
"21",4,"This is one of only a handful of times I have stayed at Hampton Inns. For the most part it was great. Unfortunately the tub in my room would not drain so while you showered you stood in water up to your ankles. Other wise the room was very clean, the linens were clean,the breakfast was fine and if I... More"
"22",5,"I am quite pleased with the level of service with this resort, Upon arrival we walked into the lobby and it was very warm and inviting. The overall look of the resort is for pleasant and inviting. I could only imagine what it's like in the summer, but for a quiet winter-retreat it's a fantastic place to get-a-way for a... More"
"23",5,"I had my daughters party at the Ramada Hall. The staff was pleasant and professional the Manager Terrie Cowen, she went above and beyond and if it were not for her this whole party could have been a disaster. All I can say is if you want a clean hotel, quality service and a professional staff look no further then... More"
